"","maxm2LAU2","CELLCODE","COMMUNE","m2_sh_of_LAU2","Pop2021EU","SumPop2021EU","Pop2021EU_sh_of_LAU2"
"1635","0704","1kmE4014N2975","Rambrouch",0.0111111111111111,0,6322,0
"1636","0704","1kmE4014N2976","Rambrouch",0.0111111111111111,127,6322,0.0200885795634293
"1637","0704","1kmE4014N2977","Rambrouch",0.0111111111111111,1014,6322,0.160392280923758
"1638","0704","1kmE4014N2978","Rambrouch",0.0111111111111111,197,6322,0.0311610249920911
"1854","0801","1kmE4014N2984","Boulaide",0.027027027027027,0,1439,0
"1851","0801","1kmE4014N2985","Boulaide",0.027027027027027,5,1439,0.00347463516330785
"1641","0704","1kmE4015N2973","Rambrouch",0.0111111111111111,0,6322,0
"1642","0704","1kmE4015N2974","Rambrouch",0.0111111111111111,0,6322,0
"1643","0704","1kmE4015N2975","Rambrouch",0.0111111111111111,133,6322,0.0210376463144574
"1644","0704","1kmE4015N2976","Rambrouch",0.0111111111111111,68,6322,0.0107560898449858
"1645","0704","1kmE4015N2977","Rambrouch",0.0111111111111111,140,6322,0.0221448908573236
"1646","0704","1kmE4015N2978","Rambrouch",0.0111111111111111,57,6322,0.00901613413476748
"1647","0704","1kmE4015N2979","Rambrouch",0.0111111111111111,144,6322,0.0227776020246757
"1648","0704","1kmE4015N2980","Rambrouch",0.0111111111111111,0,6322,0
"1649","0704","1kmE4015N2981","Rambrouch",0.0111111111111111,0,6322,0
"1650","0704","1kmE4015N2982","Rambrouch",0.0111111111111111,121,6322,0.0191395128124011
"1859","0801","1kmE4015N2984","Boulaide",0.027027027027027,0,1439,0
"1855","0801","1kmE4015N2985","Boulaide",0.027027027027027,0,1439,0
"1861","0801","1kmE4015N2986","Boulaide",0.027027027027027,0,1439,0
"1654","0704","1kmE4016N2973","Rambrouch",0.0111111111111111,0,6322,0
"1655","0704","1kmE4016N2974","Rambrouch",0.0111111111111111,129,6322,0.0204049351471053
"1656","0704","1kmE4016N2975","Rambrouch",0.0111111111111111,675,6322,0.106770009490668
"1657","0704","1kmE4016N2976","Rambrouch",0.0111111111111111,0,6322,0
"1658","0704","1kmE4016N2977","Rambrouch",0.0111111111111111,313,6322,0.0495096488453021
"1659","0704","1kmE4016N2978","Rambrouch",0.0111111111111111,1,6322,0.000158177791838026
"1660","0704","1kmE4016N2979","Rambrouch",0.0111111111111111,0,6322,0
"1661","0704","1kmE4016N2980","Rambrouch",0.0111111111111111,0,6322,0
"1662","0704","1kmE4016N2981","Rambrouch",0.0111111111111111,0,6322,0
"1663","0704","1kmE4016N2982","Rambrouch",0.0111111111111111,14,6322,0.00221448908573236
"1867","0801","1kmE4016N2983","Boulaide",0.027027027027027,0,1439,0
"1858","0801","1kmE4016N2984","Boulaide",0.027027027027027,0,1439,0
"1863","0801","1kmE4016N2985","Boulaide",0.027027027027027,0,1439,0
"1877","0801","1kmE4016N2986","Boulaide",0.027027027027027,0,1439,0
"2027","0806","1kmE4016N2987","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2028","0806","1kmE4016N2988","Lac de la Haute Sûre",0.0175438596491228,6,2224,0.00269784172661871
"403","0209","1kmE4017N2945","Pétange",0.0526315789473684,152,20694,0.00734512419058664
"1671","0704","1kmE4017N2973","Rambrouch",0.0111111111111111,0,6322,0
"1672","0704","1kmE4017N2974","Rambrouch",0.0111111111111111,17,6322,0.00268902246124644
"1673","0704","1kmE4017N2975","Rambrouch",0.0111111111111111,0,6322,0
"1674","0704","1kmE4017N2976","Rambrouch",0.0111111111111111,0,6322,0
"1675","0704","1kmE4017N2977","Rambrouch",0.0111111111111111,138,6322,0.0218285352736476
"1676","0704","1kmE4017N2978","Rambrouch",0.0111111111111111,22,6322,0.00347991142043657
"1664","0704","1kmE4017N2979","Rambrouch",0.0111111111111111,0,6322,0
"1665","0704","1kmE4017N2980","Rambrouch",0.0111111111111111,0,6322,0
"1639","0704","1kmE4017N2981","Rambrouch",0.0111111111111111,16,6322,0.00253084466940841
"1640","0704","1kmE4017N2982","Rambrouch",0.0111111111111111,0,6322,0
"1850","0801","1kmE4017N2983","Boulaide",0.027027027027027,0,1439,0
"1857","0801","1kmE4017N2984","Boulaide",0.027027027027027,6,1439,0.00416956219596942
"1864","0801","1kmE4017N2985","Boulaide",0.027027027027027,141,1439,0.0979847116052815
"1870","0801","1kmE4017N2986","Boulaide",0.027027027027027,0,1439,0
"2029","0806","1kmE4017N2987","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2017","0806","1kmE4017N2988","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2032","0806","1kmE4017N2989","Lac de la Haute Sûre",0.0175438596491228,19,2224,0.0085431654676259
"2033","0806","1kmE4017N2990","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2030","0806","1kmE4017N2991","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"391","0209","1kmE4018N2944","Pétange",0.0526315789473684,999,20694,0.0482748622789214
"390","0209","1kmE4018N2945","Pétange",0.0526315789473684,844,20694,0.0407847685319416
"394","0209","1kmE4018N2946","Pétange",0.0526315789473684,0,20694,0
"1622","0703","1kmE4018N2971","Ell",0.0416666666666667,0,1590,0
"1634","0703","1kmE4018N2972","Ell",0.0416666666666667,0,1590,0
"1682","0704","1kmE4018N2973","Rambrouch",0.0111111111111111,0,6322,0
"1683","0704","1kmE4018N2974","Rambrouch",0.0111111111111111,220,6322,0.0347991142043657
"1693","0704","1kmE4018N2975","Rambrouch",0.0111111111111111,9,6322,0.00142360012654223
"1694","0704","1kmE4018N2976","Rambrouch",0.0111111111111111,0,6322,0
"1699","0704","1kmE4018N2977","Rambrouch",0.0111111111111111,20,6322,0.00316355583676052
"1700","0704","1kmE4018N2978","Rambrouch",0.0111111111111111,62,6322,0.00980702309395761
"1697","0704","1kmE4018N2979","Rambrouch",0.0111111111111111,477,6322,0.0754508067067384
"1698","0704","1kmE4018N2980","Rambrouch",0.0111111111111111,0,6322,0
"1690","0704","1kmE4018N2981","Rambrouch",0.0111111111111111,0,6322,0
"1868","0801","1kmE4018N2982","Boulaide",0.027027027027027,4,1439,0.00277970813064628
"1860","0801","1kmE4018N2983","Boulaide",0.027027027027027,0,1439,0
"1852","0801","1kmE4018N2984","Boulaide",0.027027027027027,0,1439,0
"1853","0801","1kmE4018N2985","Boulaide",0.027027027027027,119,1439,0.0826963168867269
"1862","0801","1kmE4018N2986","Boulaide",0.027027027027027,0,1439,0
"2011","0806","1kmE4018N2987","Lac de la Haute Sûre",0.0175438596491228,2,2224,0.000899280575539568
"2025","0806","1kmE4018N2988","Lac de la Haute Sûre",0.0175438596491228,420,2224,0.188848920863309
"2013","0806","1kmE4018N2989","Lac de la Haute Sûre",0.0175438596491228,83,2224,0.0373201438848921
"2014","0806","1kmE4018N2990","Lac de la Haute Sûre",0.0175438596491228,63,2224,0.0283273381294964
"2015","0806","1kmE4018N2991","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2003","0806","1kmE4018N2992","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"250","0202","1kmE4019N2942","Differdange",0.0357142857142857,208,27820,0.00747663551401869
"249","0202","1kmE4019N2943","Differdange",0.0357142857142857,372,27820,0.013371675053918
"397","0209","1kmE4019N2944","Pétange",0.0526315789473684,207,20694,0.0100028993911279
"393","0209","1kmE4019N2945","Pétange",0.0526315789473684,3145,20694,0.151976418285493
"392","0209","1kmE4019N2946","Pétange",0.0526315789473684,483,20694,0.0233400985792983
"1619","0703","1kmE4019N2968","Ell",0.0416666666666667,63,1590,0.039622641509434
"1612","0703","1kmE4019N2969","Ell",0.0416666666666667,0,1590,0
"1614","0703","1kmE4019N2970","Ell",0.0416666666666667,142,1590,0.0893081761006289
"1627","0703","1kmE4019N2971","Ell",0.0416666666666667,164,1590,0.10314465408805
"1631","0703","1kmE4019N2972","Ell",0.0416666666666667,0,1590,0
"1626","0703","1kmE4019N2973","Ell",0.0416666666666667,0,1590,0
"1625","0703","1kmE4019N2974","Ell",0.0416666666666667,0,1590,0
"1719","0704","1kmE4019N2975","Rambrouch",0.0111111111111111,0,6322,0
"1720","0704","1kmE4019N2976","Rambrouch",0.0111111111111111,0,6322,0
"1712","0704","1kmE4019N2977","Rambrouch",0.0111111111111111,0,6322,0
"1678","0704","1kmE4019N2978","Rambrouch",0.0111111111111111,11,6322,0.00173995571021829
"1651","0704","1kmE4019N2979","Rambrouch",0.0111111111111111,0,6322,0
"1652","0704","1kmE4019N2980","Rambrouch",0.0111111111111111,0,6322,0
"1653","0704","1kmE4019N2981","Rambrouch",0.0111111111111111,22,6322,0.00347991142043657
"1883","0801","1kmE4019N2982","Boulaide",0.027027027027027,4,1439,0.00277970813064628
"1884","0801","1kmE4019N2983","Boulaide",0.027027027027027,37,1439,0.0257123002084781
"1876","0801","1kmE4019N2984","Boulaide",0.027027027027027,0,1439,0
"1885","0801","1kmE4019N2985","Boulaide",0.027027027027027,0,1439,0
"1879","0801","1kmE4019N2986","Boulaide",0.027027027027027,0,1439,0
"2026","0806","1kmE4019N2987","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2018","0806","1kmE4019N2988","Lac de la Haute Sûre",0.0175438596491228,147,2224,0.0660971223021583
"2005","0806","1kmE4019N2989","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2006","0806","1kmE4019N2990","Lac de la Haute Sûre",0.0175438596491228,346,2224,0.155575539568345
"2020","0806","1kmE4019N2991","Lac de la Haute Sûre",0.0175438596491228,39,2224,0.0175359712230216
"2001","0806","1kmE4019N2992","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"237","0202","1kmE4020N2941","Differdange",0.0357142857142857,0,27820,0
"251","0202","1kmE4020N2942","Differdange",0.0357142857142857,0,27820,0
"260","0202","1kmE4020N2943","Differdange",0.0357142857142857,4,27820,0.000143781452192667
"398","0209","1kmE4020N2944","Pétange",0.0526315789473684,324,20694,0.015656712090461
"408","0209","1kmE4020N2945","Pétange",0.0526315789473684,3442,20694,0.166328404368416
"396","0209","1kmE4020N2946","Pétange",0.0526315789473684,1228,20694,0.0593408717502658
"399","0209","1kmE4020N2947","Pétange",0.0526315789473684,1114,20694,0.0538320286073258
"105","0104","1kmE4020N2950","Käerjeng",0.0256410256410256,5,13954,0.000358320194926186
"107","0104","1kmE4020N2951","Käerjeng",0.0256410256410256,0,13954,0
"1588","0701","1kmE4020N2965","Beckerich",0.03125,26,2817,0.00922967696130635
"1583","0701","1kmE4020N2966","Beckerich",0.03125,0,2817,0
"1570","0701","1kmE4020N2967","Beckerich",0.03125,0,2817,0
"1624","0703","1kmE4020N2968","Ell",0.0416666666666667,22,1590,0.0138364779874214
"1615","0703","1kmE4020N2969","Ell",0.0416666666666667,208,1590,0.130817610062893
"1616","0703","1kmE4020N2970","Ell",0.0416666666666667,106,1590,0.0666666666666667
"1618","0703","1kmE4020N2971","Ell",0.0416666666666667,0,1590,0
"1617","0703","1kmE4020N2972","Ell",0.0416666666666667,19,1590,0.0119496855345912
"1628","0703","1kmE4020N2973","Ell",0.0416666666666667,372,1590,0.233962264150943
"1621","0703","1kmE4020N2974","Ell",0.0416666666666667,0,1590,0
"1632","0703","1kmE4020N2975","Ell",0.0416666666666667,0,1590,0
"1724","0704","1kmE4020N2976","Rambrouch",0.0111111111111111,0,6322,0
"1721","0704","1kmE4020N2977","Rambrouch",0.0111111111111111,0,6322,0
"1717","0704","1kmE4020N2978","Rambrouch",0.0111111111111111,17,6322,0.00268902246124644
"1713","0704","1kmE4020N2979","Rambrouch",0.0111111111111111,23,6322,0.0036380892122746
"1691","0704","1kmE4020N2980","Rambrouch",0.0111111111111111,112,6322,0.0177159126858589
"1874","0801","1kmE4020N2981","Boulaide",0.027027027027027,0,1439,0
"1865","0801","1kmE4020N2982","Boulaide",0.027027027027027,0,1439,0
"1866","0801","1kmE4020N2983","Boulaide",0.027027027027027,525,1439,0.364836692147325
"1882","0801","1kmE4020N2984","Boulaide",0.027027027027027,523,1439,0.363446838082001
"1886","0801","1kmE4020N2985","Boulaide",0.027027027027027,22,1439,0.0152883947185546
"1869","0801","1kmE4020N2986","Boulaide",0.027027027027027,0,1439,0
"2050","0806","1kmE4020N2987","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2049","0806","1kmE4020N2988","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2046","0806","1kmE4020N2989","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2038","0806","1kmE4020N2990","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2127","0808","1kmE4020N2991","Winseler",0.0277777777777778,0,1450,0
"2123","0808","1kmE4020N2992","Winseler",0.0277777777777778,0,1450,0
"2111","0808","1kmE4020N2993","Winseler",0.0277777777777778,0,1450,0
"243","0202","1kmE4021N2940","Differdange",0.0357142857142857,737,27820,0.0264917325664989
"239","0202","1kmE4021N2941","Differdange",0.0357142857142857,0,27820,0
"238","0202","1kmE4021N2942","Differdange",0.0357142857142857,0,27820,0
"240","0202","1kmE4021N2943","Differdange",0.0357142857142857,0,27820,0
"395","0209","1kmE4021N2944","Pétange",0.0526315789473684,0,20694,0
"401","0209","1kmE4021N2945","Pétange",0.0526315789473684,1664,20694,0.080409780612738
"404","0209","1kmE4021N2946","Pétange",0.0526315789473684,1350,20694,0.0652363003769209
"407","0209","1kmE4021N2947","Pétange",0.0526315789473684,280,20694,0.013530491930028
"402","0209","1kmE4021N2948","Pétange",0.0526315789473684,0,20694,0
"101","0104","1kmE4021N2949","Käerjeng",0.0256410256410256,203,13954,0.0145477999140032
"108","0104","1kmE4021N2950","Käerjeng",0.0256410256410256,0,13954,0
"100","0104","1kmE4021N2951","Käerjeng",0.0256410256410256,38,13954,0.00272323348143901
"1564","0701","1kmE4021N2964","Beckerich",0.03125,71,2817,0.025204117855875
"1567","0701","1kmE4021N2965","Beckerich",0.03125,236,2817,0.0837770678026269
"1565","0701","1kmE4021N2966","Beckerich",0.03125,197,2817,0.0699325523606674
"1572","0701","1kmE4021N2967","Beckerich",0.03125,0,2817,0
"1630","0703","1kmE4021N2968","Ell",0.0416666666666667,0,1590,0
"1629","0703","1kmE4021N2969","Ell",0.0416666666666667,18,1590,0.0113207547169811
"1633","0703","1kmE4021N2970","Ell",0.0416666666666667,0,1590,0
"1623","0703","1kmE4021N2971","Ell",0.0416666666666667,0,1590,0
"1774","0706","1kmE4021N2972","Redange",0.0303030303030303,118,3035,0.0388797364085667
"1769","0706","1kmE4021N2973","Redange",0.0303030303030303,14,3035,0.00461285008237232
"1772","0706","1kmE4021N2974","Redange",0.0303030303030303,0,3035,0
"1685","0704","1kmE4021N2975","Rambrouch",0.0111111111111111,0,6322,0
"1686","0704","1kmE4021N2976","Rambrouch",0.0111111111111111,13,6322,0.00205631129389434
"1687","0704","1kmE4021N2977","Rambrouch",0.0111111111111111,79,6322,0.0124960455552041
"1688","0704","1kmE4021N2978","Rambrouch",0.0111111111111111,61,6322,0.00964884530211958
"1689","0704","1kmE4021N2979","Rambrouch",0.0111111111111111,3,6322,0.000474533375514078
"1677","0704","1kmE4021N2980","Rambrouch",0.0111111111111111,93,6322,0.0147105346409364
"1873","0801","1kmE4021N2981","Boulaide",0.027027027027027,4,1439,0.00277970813064628
"1856","0801","1kmE4021N2982","Boulaide",0.027027027027027,0,1439,0
"1872","0801","1kmE4021N2983","Boulaide",0.027027027027027,0,1439,0
"1878","0801","1kmE4021N2984","Boulaide",0.027027027027027,49,1439,0.034051424600417
"1871","0801","1kmE4021N2985","Boulaide",0.027027027027027,0,1439,0
"2051","0806","1kmE4021N2986","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2047","0806","1kmE4021N2987","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2048","0806","1kmE4021N2988","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2016","0806","1kmE4021N2989","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2008","0806","1kmE4021N2990","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2112","0808","1kmE4021N2991","Winseler",0.0277777777777778,0,1450,0
"2103","0808","1kmE4021N2992","Winseler",0.0277777777777778,109,1450,0.0751724137931035
"2104","0808","1kmE4021N2993","Winseler",0.0277777777777778,21,1450,0.0144827586206897
"1069","0502","1kmE4021N2995","Wincrange",0.0078125,0,4906,0
"1093","0502","1kmE4021N2996","Wincrange",0.0078125,0,4906,0
"1098","0502","1kmE4021N2997","Wincrange",0.0078125,0,4906,0
"253","0202","1kmE4022N2940","Differdange",0.0357142857142857,7,27820,0.000251617541337168
"245","0202","1kmE4022N2941","Differdange",0.0357142857142857,9,27820,0.000323508267433501
"261","0202","1kmE4022N2942","Differdange",0.0357142857142857,1153,27820,0.0414450035945363
"258","0202","1kmE4022N2943","Differdange",0.0357142857142857,0,27820,0
"257","0202","1kmE4022N2944","Differdange",0.0357142857142857,0,27820,0
"400","0209","1kmE4022N2945","Pétange",0.0526315789473684,0,20694,0
"406","0209","1kmE4022N2946","Pétange",0.0526315789473684,4828,20694,0.233304339422055
"405","0209","1kmE4022N2947","Pétange",0.0526315789473684,634,20694,0.0306368995844206
"95","0104","1kmE4022N2948","Käerjeng",0.0256410256410256,0,13954,0
"82","0104","1kmE4022N2949","Käerjeng",0.0256410256410256,0,13954,0
"79","0104","1kmE4022N2950","Käerjeng",0.0256410256410256,555,13954,0.0397735416368067
"91","0104","1kmE4022N2951","Käerjeng",0.0256410256410256,664,13954,0.0475849218861975
"102","0104","1kmE4022N2952","Käerjeng",0.0256410256410256,0,13954,0
"56","0103","1kmE4022N2959","Habscht",0.0263157894736842,0,5097,0
"75","0103","1kmE4022N2960","Habscht",0.0263157894736842,145,5097,0.0284481067294487
"72","0103","1kmE4022N2961","Habscht",0.0263157894736842,0,5097,0
"1592","0701","1kmE4022N2965","Beckerich",0.03125,0,2817,0
"1595","0701","1kmE4022N2966","Beckerich",0.03125,103,2817,0.0365637202697906
"1585","0701","1kmE4022N2967","Beckerich",0.03125,4,2817,0.00141995030173944
"1620","0703","1kmE4022N2968","Ell",0.0416666666666667,8,1590,0.0050314465408805
"1613","0703","1kmE4022N2969","Ell",0.0416666666666667,468,1590,0.294339622641509
"1611","0703","1kmE4022N2970","Ell",0.0416666666666667,0,1590,0
"1777","0706","1kmE4022N2971","Redange",0.0303030303030303,33,3035,0.0108731466227348
"1771","0706","1kmE4022N2972","Redange",0.0303030303030303,210,3035,0.0691927512355848
"1768","0706","1kmE4022N2973","Redange",0.0303030303030303,1,3035,0.000329489291598023
"1680","0704","1kmE4022N2974","Rambrouch",0.0111111111111111,11,6322,0.00173995571021829
"1695","0704","1kmE4022N2975","Rambrouch",0.0111111111111111,0,6322,0
"1681","0704","1kmE4022N2976","Rambrouch",0.0111111111111111,137,6322,0.0216703574818096
"1701","0704","1kmE4022N2977","Rambrouch",0.0111111111111111,400,6322,0.0632711167352104
"1715","0704","1kmE4022N2978","Rambrouch",0.0111111111111111,0,6322,0
"1716","0704","1kmE4022N2979","Rambrouch",0.0111111111111111,0,6322,0
"1718","0704","1kmE4022N2980","Rambrouch",0.0111111111111111,342,6322,0.0540968048086049
"1722","0704","1kmE4022N2981","Rambrouch",0.0111111111111111,0,6322,0
"1723","0704","1kmE4022N2982","Rambrouch",0.0111111111111111,0,6322,0
"1875","0801","1kmE4022N2983","Boulaide",0.027027027027027,0,1439,0
"1880","0801","1kmE4022N2984","Boulaide",0.027027027027027,0,1439,0
"1881","0801","1kmE4022N2985","Boulaide",0.027027027027027,0,1439,0
"2021","0806","1kmE4022N2986","Lac de la Haute Sûre",0.0175438596491228,1,2224,0.000449640287769784
"2007","0806","1kmE4022N2987","Lac de la Haute Sûre",0.0175438596491228,121,2224,0.0544064748201439
"2042","0806","1kmE4022N2988","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2105","0808","1kmE4022N2989","Winseler",0.0277777777777778,0,1450,0
"2116","0808","1kmE4022N2990","Winseler",0.0277777777777778,0,1450,0
"2117","0808","1kmE4022N2991","Winseler",0.0277777777777778,0,1450,0
"2130","0808","1kmE4022N2992","Winseler",0.0277777777777778,232,1450,0.16
"2114","0808","1kmE4022N2993","Winseler",0.0277777777777778,50,1450,0.0344827586206897
"2124","0808","1kmE4022N2994","Winseler",0.0277777777777778,37,1450,0.0255172413793103
"1087","0502","1kmE4022N2995","Wincrange",0.0078125,0,4906,0
"1088","0502","1kmE4022N2996","Wincrange",0.0078125,23,4906,0.00468813697513249
"1115","0502","1kmE4022N2997","Wincrange",0.0078125,29,4906,0.00591112922951488
"1075","0502","1kmE4022N2998","Wincrange",0.0078125,134,4906,0.0273134936812067
"244","0202","1kmE4023N2939","Differdange",0.0357142857142857,2,27820,7.18907260963336e-05
"242","0202","1kmE4023N2940","Differdange",0.0357142857142857,85,27820,0.00305535585909418
"254","0202","1kmE4023N2941","Differdange",0.0357142857142857,2672,27820,0.0960460100647016
"263","0202","1kmE4023N2942","Differdange",0.0357142857142857,7287,27820,0.261933860531991
"246","0202","1kmE4023N2943","Differdange",0.0357142857142857,2142,27820,0.0769949676491733
"262","0202","1kmE4023N2944","Differdange",0.0357142857142857,3346,27820,0.120273184759166
"256","0202","1kmE4023N2945","Differdange",0.0357142857142857,1187,27820,0.042667145938174
"104","0104","1kmE4023N2946","Käerjeng",0.0256410256410256,3660,13954,0.262290382685968
"96","0104","1kmE4023N2947","Käerjeng",0.0256410256410256,574,13954,0.0411351583775262
"106","0104","1kmE4023N2948","Käerjeng",0.0256410256410256,30,13954,0.00214992116955712
"89","0104","1kmE4023N2949","Käerjeng",0.0256410256410256,0,13954,0
"94","0104","1kmE4023N2950","Käerjeng",0.0256410256410256,522,13954,0.0374086283502938
"90","0104","1kmE4023N2951","Käerjeng",0.0256410256410256,269,13954,0.0192776264870288
"80","0104","1kmE4023N2952","Käerjeng",0.0256410256410256,20,13954,0.00143328077970474
"78","0104","1kmE4023N2953","Käerjeng",0.0256410256410256,0,13954,0
"93","0104","1kmE4023N2954","Käerjeng",0.0256410256410256,0,13954,0
"211","0110","1kmE4023N2955","Steinfort",0.0588235294117647,0,5916,0
"58","0103","1kmE4023N2959","Habscht",0.0263157894736842,19,5097,0.00372768295075535
"77","0103","1kmE4023N2960","Habscht",0.0263157894736842,1521,5097,0.298410829899941
"76","0103","1kmE4023N2961","Habscht",0.0263157894736842,288,5097,0.0565038257798705
"73","0103","1kmE4023N2962","Habscht",0.0263157894736842,0,5097,0
"1594","0701","1kmE4023N2964","Beckerich",0.03125,0,2817,0
"1593","0701","1kmE4023N2965","Beckerich",0.03125,21,2817,0.00745473908413206
"1589","0701","1kmE4023N2966","Beckerich",0.03125,11,2817,0.00390486332978346
"1580","0701","1kmE4023N2967","Beckerich",0.03125,0,2817,0
"1766","0706","1kmE4023N2968","Redange",0.0303030303030303,6,3035,0.00197693574958814
"1778","0706","1kmE4023N2969","Redange",0.0303030303030303,18,3035,0.00593080724876442
"1761","0706","1kmE4023N2970","Redange",0.0303030303030303,0,3035,0
"1764","0706","1kmE4023N2971","Redange",0.0303030303030303,0,3035,0
"1747","0706","1kmE4023N2972","Redange",0.0303030303030303,35,3035,0.0115321252059308
"1666","0704","1kmE4023N2973","Rambrouch",0.0111111111111111,3,6322,0.000474533375514078
"1667","0704","1kmE4023N2974","Rambrouch",0.0111111111111111,401,6322,0.0634292945270484
"1696","0704","1kmE4023N2975","Rambrouch",0.0111111111111111,138,6322,0.0218285352736476
"1702","0704","1kmE4023N2976","Rambrouch",0.0111111111111111,0,6322,0
"1707","0704","1kmE4023N2977","Rambrouch",0.0111111111111111,14,6322,0.00221448908573236
"1708","0704","1kmE4023N2978","Rambrouch",0.0111111111111111,0,6322,0
"1705","0704","1kmE4023N2979","Rambrouch",0.0111111111111111,0,6322,0
"1706","0704","1kmE4023N2980","Rambrouch",0.0111111111111111,0,6322,0
"1711","0704","1kmE4023N2981","Rambrouch",0.0111111111111111,0,6322,0
"1703","0704","1kmE4023N2982","Rambrouch",0.0111111111111111,0,6322,0
"1888","0802","1kmE4023N2983","Esch-sur-Sûre",0.0204081632653061,0,2924,0
"1890","0802","1kmE4023N2984","Esch-sur-Sûre",0.0204081632653061,0,2924,0
"2012","0806","1kmE4023N2985","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2009","0806","1kmE4023N2986","Lac de la Haute Sûre",0.0175438596491228,15,2224,0.00674460431654676
"2004","0806","1kmE4023N2987","Lac de la Haute Sûre",0.0175438596491228,14,2224,0.00629496402877698
"2010","0806","1kmE4023N2988","Lac de la Haute Sûre",0.0175438596491228,0,2224,0
"2122","0808","1kmE4023N2989","Winseler",0.0277777777777778,0,1450,0
"2108","0808","1kmE4023N2990","Winseler",0.0277777777777778,109,1450,0.0751724137931035
"2129","0808","1kmE4023N2991","Winseler",0.0277777777777778,6,1450,0.00413793103448276
"2126","0808","1kmE4023N2992","Winseler",0.0277777777777778,77,1450,0.0531034482758621
"2128","0808","1kmE4023N2993","Winseler",0.0277777777777778,45,1450,0.0310344827586207
"2106","0808","1kmE4023N2994","Winseler",0.0277777777777778,0,1450,0
"1117","0502","1kmE4023N2995","Wincrange",0.0078125,0,4906,0
"1092","0502","1kmE4023N2996","Wincrange",0.0078125,23,4906,0.00468813697513249
"1070","0502","1kmE4023N2997","Wincrange",0.0078125,218,4906,0.0444353852425601
"1068","0502","1kmE4023N2998","Wincrange",0.0078125,23,4906,0.00468813697513249
"264","0202","1kmE4024N2939","Differdange",0.0357142857142857,56,27820,0.00201294033069734
"259","0202","1kmE4024N2940","Differdange",0.0357142857142857,0,27820,0
"255","0202","1kmE4024N2941","Differdange",0.0357142857142857,1271,27820,0.04568655643422
"241","0202","1kmE4024N2942","Differdange",0.0357142857142857,5829,27820,0.209525521207764
"248","0202","1kmE4024N2943","Differdange",0.0357142857142857,0,27820,0
"252","0202","1kmE4024N2944","Differdange",0.0357142857142857,1447,27820,0.0520129403306973
"247","0202","1kmE4024N2945","Differdange",0.0357142857142857,6,27820,0.000215672178289001
"92","0104","1kmE4024N2946","Käerjeng",0.0256410256410256,364,13954,0.0260857101906263
"84","0104","1kmE4024N2947","Käerjeng",0.0256410256410256,652,13954,0.0467249534183747
"87","0104","1kmE4024N2948","Käerjeng",0.0256410256410256,176,13954,0.0126128708614017
"83","0104","1kmE4024N2949","Käerjeng",0.0256410256410256,0,13954,0
"85","0104","1kmE4024N2950","Käerjeng",0.0256410256410256,9,13954,0.000644976350867135
"81","0104","1kmE4024N2951","Käerjeng",0.0256410256410256,317,13954,0.0227175003583202
"86","0104","1kmE4024N2952","Käerjeng",0.0256410256410256,0,13954,0
"88","0104","1kmE4024N2953","Käerjeng",0.0256410256410256,0,13954,0
"212","0110","1kmE4024N2954","Steinfort",0.0588235294117647,131,5916,0.0221433400946586
"208","0110","1kmE4024N2955","Steinfort",0.0588235294117647,3,5916,0.00050709939148073
"209","0110","1kmE4024N2958","Steinfort",0.0588235294117647,0,5916,0
"44","0103","1kmE4024N2959","Habscht",0.0263157894736842,0,5097,0
"63","0103","1kmE4024N2960","Habscht",0.0263157894736842,118,5097,0.0231508730625858
"40","0103","1kmE4024N2961","Habscht",0.0263157894736842,35,5097,0.00686678438297037
"50","0103","1kmE4024N2962","Habscht",0.0263157894736842,0,5097,0
"55","0103","1kmE4024N2963","Habscht",0.0263157894736842,10,5097,0.00196193839513439
"1577","0701","1kmE4024N2964","Beckerich",0.03125,0,2817,0
"1568","0701","1kmE4024N2965","Beckerich",0.03125,572,2817,0.20305289314874
"1566","0701","1kmE4024N2966","Beckerich",0.03125,107,2817,0.03798367057153
"1586","0701","1kmE4024N2967","Beckerich",0.03125,0,2817,0
"1748","0706","1kmE4024N2968","Redange",0.0303030303030303,0,3035,0
